topic,text,audio
关于北斗…,这位船长总是漠视规则，性格令人头疼，可她的「南十字」船队，对璃月港来说又是必不可少的。如何平衡规则和利益，也是一门艺术。哎呀，只不过那位负责律法的「天权」，可有的忙了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/99da178521935f017c04ab76c9f432c5_8376283457036118123.mp3
关于凝光·矛盾,我和她虽然是同事，但性子真的合不来。在她的眼里，璃月港不过是她的生意场，只要是能赚钱的事，她什么都做。这岂不是太没原则了？唔…还是说，这就是她的原则？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/e996a9c3aef883f77582d03542aa724e_1889686821335495847.mp3
关于凝光·合作,帝君离开之后，我们难得地达成了很多共识。过去我对她的评价，确实有点偏颇。尽管根本的观念不同，但在现在的时局下，也只能把她视为战友了。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/c64899666be851791fed2d472da35382_1950671942001726171.mp3
关于凝光·琐事,话虽这么说！明星斋的「琉璃新月」，我提前三个月就预定了！结果去取货的时候才知道，凝光她用两倍的价钱，把这几个月里所有的「琉璃新月」都买走了！果然我还是受不了她！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/ee4558cd9a8e37b5799014808e95edd0_1474686164130616028.mp3
关于辛焱…,其实我也对她的「摇滚」很感兴趣。从传统文化的视角看，确实有点喧闹，但我不在乎。好听就是好听，好听的东西就应该发扬光大。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/ad6c5e8dcdb4e1cfcf138040260b1992_5325714481895229808.mp3
关于白术…,白术先生的医术备受居民的信赖，如果有什么疑难杂症，去找他肯定不会有错。你说…那些奇怪的传闻？我只知道有一件事是真的，他开的药，确实特别苦，不止是小孩子觉得…给我都留下了很深刻的印象。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/024d508cb471f96bd9a2d89a73faa7b1_2849866987800346085.mp3
关于香菱…,「万民堂」的这位年轻掌勺，我知道她很有才华，但发挥还是太不稳定了。以前本来想找她定制几桌宴席的，可是尝过她蜥蜴还有史莱姆的试菜之后…我就打消了这个念头。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/59c815382509ec4c23f2c1812e9b838f_5256765098584510603.mp3
关于行秋…,我听说过他的故事，明明出身名门望族，却不爱家族事业，喜欢去外面行侠仗义。我很欣赏他，毕竟，把家里的条条框框丢到一边，执意去做心中认为正确的事，这种魄力，可不是谁都有的。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/29acb2c79e07afb113c46abf612886f3_592228315878583880.mp3
关于魈…,传闻中的少年仙人，现如今在这人治之世，也应该放下身上的重担了吧。人类已经不需要这样的守护了，就算遇上什么棘手的难题，我们也有自行解决的能力。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/5ca34fa46d2d37eb07ebe8175e1b3a88_1569763514909675206.mp3
关于甘雨·质疑,我也不知道帝君当年做了什么，才会让甘雨对他这么忠心耿耿。不过，没主见也有没主见的好处——至少，就算是心中颇有微词，她也会按我说的去做，很有职业素养。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/124ccb2eec3bd9e8ce8f8ea828204c1c_8623913869863630027.mp3
关于甘雨·反思,因为最近有很多事都拿不定主意，我经常去向她询问意见，毕竟，她可能是璃月最熟悉帝君的人了。唉，想起以前，在她面前说了很多得罪帝君的话，还是有点不好意思，不过，她似乎没那么介意，这让我松了口气…,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/e309b2e9dbe4990a97a8bc3db92020fd_580701417217122064.mp3
关于云堇…,路过和裕茶馆的时候，如果发现被围得水泄不通，那一定就是云堇正在台上唱戏。许多商人都觉得，只是为了云堇，就值得把整个茶馆都买下来。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/f659ec79cdbfad4a7bd1359c53ae8a46_3676392498054778375.mp3
关于风之神…,帝君离去之后，我一直都在思考，璃月港的未来该怎么走。除了参考帝君以前的行动，我还去研究了其他神明的治世手段。可是，邻国蒙德就让我很是困惑…像风之神这种做法，真的能让蒙德长久吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/cc2b40ebd6c26e2d3da315a04ed6898e_3389220034756473600.mp3
关于烟绯…,在我看来，律法是对过去「正确事物」的总结，但也具有时效性，需要不断完善和改进。璃月即将迎来剧变，熟知律法的人才不可多得，要是烟绯小姐愿意担任我的助手，许多麻烦就迎刃而解了。,https://uploadstatic.mihoyo.com/ys-obc/2022/02/02/184753361/e4b535e6a8922bfb661d81dcdc7654fa_6089164708063730421.mp3
想要了解刻晴·其一,想要了解我？好啊，那我先把「玉衡」的工作原则讲给你听，等你熟记了这一百多条关键条目，就一定对我的理想了如指掌了！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/56133cd09fbf4f3fc5279ee32d3d4878_1612445753814868759.mp3
想要了解刻晴·其二,万事万物都不可脱离联系独立存在，倘若一件事拖了后腿，与它联系的诸多事项也都会遭殃。所以，「今日事今日毕」。不是我性子急，而是事情本来就不能拖延。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/5e0c38cb772ad8f9a293ab9bed52a8ea_124271810071008893.mp3
想要了解刻晴·其三,不用和我太客气，「玉衡」说到底只是虚名，我不希望你因为我的身份，而把想说的话藏在心里——因为有话直说，这才是你独一无二的地方，也是我最欣赏的地方。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/6342228213be571944ebfecb6ce56499_8170507689895748748.mp3
想要了解刻晴·其四,和你一起冒险，已经很长时间了。我越来越觉得，你就是我理想中的那个人——欸？这么吃惊干什么？为了建成我理想中的璃月，你的确是不可或缺的啊？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/a681328211ab840a87fdeb66410a1ad9_25297134477394289.mp3
想要了解刻晴·其五,「想要在帝君的土地上，留下属于人类的印记。」这果然很不容易啊。但我想和你定下一个约定——等到新时代的璃月港落成之时，来看看吧，我来领路。只有让你亲眼见证这里的脱胎换骨，才不会辜负你对我的陪伴和支持。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/23cb393373d38c6727efa32bc477f64a_508023534159267904.mp3
刻晴的爱好…,这么多式样、这么多质地、这么多选择…啊，这就是「消费」呀，真是令人难以抵御的魅力。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/23d690345e7a1edc96c1d25652f213b2_4271636521949707948.mp3
刻晴的烦恼…,璃月人的生活越来越好，这确实没错，但不思进取，好吃懒做的人也越来越多了。唉，「璃月七星」很努力地改善社会福利，可不是为了养活这帮闲人啊。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/a848f99b4eae45da49154f68ca30bb46_1542920133831332655.mp3
喜欢的食物…,从道理上说，不应该对食物有什么贪欲，但唯独那一道美味的金丝虾球…总是让我忘不了。哪怕就吃一个，也能满足味蕾，扫清身上积累的所有压力。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/bc9a63a2f5dee74de2fea2d1bca75678_4919218124151526507.mp3
讨厌的食物…,每种菜肴都有最理想的味道，我不能接受除此以外的做法，尝试都不行。比如，咸味的杏仁豆腐，甜味的莲子禽蛋羹什么的…都是在暴殄天物！,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/f15c7fad5dda8838fe6e2d399ec191ef_3906714845416190586.mp3
生日…,生日快乐！我为你准备了一份特别的礼物。别看这只是一盏普普通通的灯，只要有一点点雷元素力，就可以点亮很长时间。在你需要光的时候，就用它吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/39175d96761fde40d7fe39a9bf4b000e_6241092051949171815.mp3
突破的感受·起,心有所向，日复一日，必有精进。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/6bad70fda1ddb9f3f0ce6897d9176bfd_305421470149414327.mp3
突破的感受·承,很好，在需要随机应变的时候，又多了一种选择。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/9315ac9f73a15b02255824086dd974c6_3527252676273499008.mp3
突破的感受·转,「昨天的经历都将成为明天的力量。」而这一切，都是与你同行的收获。,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/3448ef91cd8a106806b2bb1d4ac66f13_3477525641692263318.mp3
突破的感受·合,能和你一路结伴而行，我感觉受益匪浅。如果真的有一天，我抵达了理想中的终点…我的身边，还会有你陪伴吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/02/26/76953456/4f5e53c6a0e406c8174bc97eccddb50c_2469860698622000849.mp3
元素战技·其一,去吧！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/23/7531033/5632d1b479098bc2f50186d7cd962836_9074980999646770948.mp3
元素战技·其二,迅影如剑！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/23/7531033/455b5710b691fe6437a1acbcd9e5b97f_7120869314281825148.mp3
元素战技·其三,可别眨眼。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/23/7531033/bf869bac7980527cd812c62cf56b2d3f_715320868404112773.mp3
元素战技·其四,喝啊—！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/23/7531033/b94ebb091865de66b81befd90ee9f580_494887635378785742.mp3
元素战技·其五,嘿！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/602589673262eed638c33a104b9be5ad_4610258054055883430.mp3
元素战技·其六,哈！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/f9b662fcc19367223c77e405eeb07cb4_1642594717160275582.mp3
元素爆发·其一,无处可逃！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/881642b0dc975b0ffb152f8ce58c392f_5189075122039199665.mp3
元素爆发·其二,剑出，影随—,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/daed3f6b303b1d4e1247a7ed8a75cd88_1604877442984290428.mp3
元素爆发·其三,剑光如我，斩尽芜杂！,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/0e3ed019b09c68d0b8d2635f25428059_5283674057553854791.mp3
打开宝箱·其一,一份付出，一份收获。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/18/291696164/772ef107b82200aeeb959c377ef021f7_4499609678667251052.mp3
打开宝箱·其二,不错的珍宝。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/18/291696164/1e1a1f84700dca232d28d27a95a460b2_2507958540447977893.mp3
打开宝箱·其三,收纳完毕，就重新出发吧。,https://uploadstatic.mihoyo.com/ys-obc/2022/01/18/291696164/3a2e090dee6d125cc6c504efacd51c1e_7182429190294961799.mp3
生命值低·其一,以退为进...,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/dfd35a396de394ca5a4316826eb81f75_329055547933183792.mp3
生命值低·其二,有点轻敌了。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/99eb4a3a8a2ac148e235cfdff0626c48_4073720512035055422.mp3
生命值低·其三,调整战略吧。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/0f737121b24a087fbe0a8b2e0fd25177_7832892114616269568.mp3
倒下·其一,时机...不对。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/aa8290e4ddcac212c908d31d152a5f4e_476134334205951340.mp3
倒下·其二,太不甘心了...,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/281e0ca11c7df7c2ad0c1bc3f4ed78a7_1384967690363510006.mp3
倒下·其三,辜负了...期待。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/9e74dc369f814805e8dab3e11d084141_8282299619170454210.mp3
普通受击·其一,唔...可恶。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/5730ddca943e0c0c6b8564a3dbc0dc7e_7641614698849973859.mp3
普通受击·其二,小伤而已。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/4704e0467da302943d25595be7127904_1930512867429333169.mp3
重受击·其一,只是巧合...,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/178ecdd09c80c8ddea0fbf35781c24b2_9202941374529673722.mp3
加入队伍·其一,走吧，时间紧迫。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/38b95c5091501f3461cc44f1a7b2cf7b_3771561468087815778.mp3
加入队伍·其二,是突发事件吗？,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/72de7c4a8056c6abda8baf94e9a9e8ef_7551094549591317592.mp3
加入队伍·其三,速战速决。,https://uploadstatic.mihoyo.com/ys-obc/2021/07/24/7531033/ccb63a8b035dec6270e4df1cc045bb94_4311480980635284107.mp3
